Frequency (Hz)	Level (dB)
46.875000	-32.184521
93.750000	-32.669693
140.625000	-37.713772
187.500000	-39.494404
234.375000	-40.223518
281.250000	-40.880836
328.125000	-38.856159
375.000000	-37.669907
421.875000	-40.514668
468.750000	-37.643082
515.625000	-30.772278
562.500000	-26.581564
609.375000	-31.494738
656.250000	-32.705433
703.125000	-34.317413
750.000000	-34.897774
796.875000	-35.743153
843.750000	-39.237080
890.625000	-40.238754
937.500000	-42.701992
984.375000	-41.002186
1031.250000	-38.356583
1078.125000	-37.668293
1125.000000	-34.260891
1171.875000	-39.530022
1218.750000	-42.160912
1265.625000	-44.116108
1312.500000	-43.219383
1359.375000	-43.352932
1406.250000	-47.098743
1453.125000	-46.679462
1500.000000	-47.816692
1546.875000	-49.848450
1593.750000	-48.873199
1640.625000	-48.698044
1687.500000	-47.584705
1734.375000	-47.921322
1781.250000	-49.249863
1828.125000	-52.283318
1875.000000	-50.107250
1921.875000	-50.988075
1968.750000	-54.416553
2015.625000	-55.704983
2062.500000	-54.766678
2109.375000	-53.842678
2156.250000	-53.083023
2203.125000	-55.270149
2250.000000	-54.503647
2296.875000	-56.148190
2343.750000	-57.633488
2390.625000	-57.000908
2437.500000	-55.977329
2484.375000	-55.721054
2531.250000	-57.311729
2578.125000	-57.522453
2625.000000	-57.837784
2671.875000	-58.593353
2718.750000	-58.682209
2765.625000	-55.676220
2812.500000	-54.924950
2859.375000	-55.526260
2906.250000	-54.380424
2953.125000	-53.793488
3000.000000	-54.988800
3046.875000	-58.226448
3093.750000	-62.008114
3140.625000	-59.870285
3187.500000	-59.151600
3234.375000	-59.009663
3281.250000	-61.678345
3328.125000	-63.130894
3375.000000	-62.887825
3421.875000	-62.370327
3468.750000	-59.568981
3515.625000	-58.831993
3562.500000	-60.937256
3609.375000	-58.817223
3656.250000	-57.681656
3703.125000	-60.370140
3750.000000	-65.010704
3796.875000	-64.427467
3843.750000	-61.653034
3890.625000	-59.325302
3937.500000	-60.001221
3984.375000	-62.997475
4031.250000	-61.288635
4078.125000	-60.537331
4125.000000	-59.658680
4171.875000	-59.494839
4218.750000	-62.426952
4265.625000	-64.251297
4312.500000	-62.547775
4359.375000	-62.784683
4406.250000	-63.208340
4453.125000	-65.064423
4500.000000	-65.406609
4546.875000	-62.532501
4593.750000	-61.129524
4640.625000	-62.729256
4687.500000	-67.453453
4734.375000	-68.912254
4781.250000	-66.823723
4828.125000	-64.342201
4875.000000	-65.673347
4921.875000	-68.429817
4968.750000	-67.825417
5015.625000	-68.950287
5062.500000	-68.411049
5109.375000	-66.775299
5156.250000	-69.407761
5203.125000	-69.482803
5250.000000	-65.340691
5296.875000	-64.933556
5343.750000	-66.361900
5390.625000	-65.805458
5437.500000	-65.728714
5484.375000	-64.757957
5531.250000	-64.408081
5578.125000	-64.521454
5625.000000	-66.624069
5671.875000	-65.413559
5718.750000	-65.065880
5765.625000	-66.512115
5812.500000	-67.515831
5859.375000	-69.122833
5906.250000	-69.749542
5953.125000	-66.666985
6000.000000	-64.244995
6046.875000	-64.568001
6093.750000	-67.542450
6140.625000	-65.359344
6187.500000	-63.219929
6234.375000	-64.563286
6281.250000	-67.709038
6328.125000	-68.256386
6375.000000	-66.888680
6421.875000	-62.985241
6468.750000	-58.740044
6515.625000	-58.296391
6562.500000	-62.648048
6609.375000	-66.675308
6656.250000	-64.138374
6703.125000	-61.980022
6750.000000	-62.821857
6796.875000	-66.693169
6843.750000	-65.781380
6890.625000	-67.059410
6937.500000	-68.428818
6984.375000	-70.379936
7031.250000	-71.787636
7078.125000	-68.803436
7125.000000	-69.460991
7171.875000	-72.769829
7218.750000	-72.455933
7265.625000	-70.337914
7312.500000	-67.414360
7359.375000	-66.333466
7406.250000	-68.839706
7453.125000	-71.290894
7500.000000	-72.640938
7546.875000	-71.905273
7593.750000	-68.055267
7640.625000	-64.091995
7687.500000	-60.647907
7734.375000	-62.999821
7781.250000	-69.008385
7828.125000	-70.237999
7875.000000	-69.765190
7921.875000	-70.078300
7968.750000	-67.159981
8015.625000	-65.636642
8062.500000	-67.734802
8109.375000	-69.471077
8156.250000	-70.651619
8203.125000	-73.287148
8250.000000	-72.880859
8296.875000	-71.372955
8343.750000	-70.502052
8390.625000	-70.944511
8437.500000	-70.921242
8484.375000	-69.390671
8531.250000	-69.652077
8578.125000	-71.733604
8625.000000	-73.978165
8671.875000	-71.547081
8718.750000	-69.798355
8765.625000	-66.507111
8812.500000	-65.076141
8859.375000	-68.688492
8906.250000	-71.747719
8953.125000	-72.035034
9000.000000	-72.126671
9046.875000	-69.949593
9093.750000	-70.421471
9140.625000	-68.850441
9187.500000	-68.396469
9234.375000	-71.974045
9281.250000	-73.316055
9328.125000	-73.417877
9375.000000	-68.469528
9421.875000	-62.761623
9468.750000	-64.533562
9515.625000	-68.783028
9562.500000	-69.495483
9609.375000	-69.948418
9656.250000	-70.342178
9703.125000	-71.205849
9750.000000	-71.109375
9796.875000	-70.872772
9843.750000	-71.140373
9890.625000	-71.077568
9937.500000	-73.438690
9984.375000	-75.417503
10031.250000	-73.986397
10078.125000	-72.245255
10125.000000	-70.054352
10171.875000	-71.461220
10218.750000	-73.809708
10265.625000	-68.793610
10312.500000	-68.553101
10359.375000	-70.847023
10406.250000	-71.829933
10453.125000	-73.044815
10500.000000	-71.616180
10546.875000	-70.962959
10593.750000	-71.847870
10640.625000	-71.311546
10687.500000	-73.061829
10734.375000	-70.621147
10781.250000	-67.409904
10828.125000	-70.086563
10875.000000	-73.997437
10921.875000	-74.495773
10968.750000	-75.469887
11015.625000	-75.004677
11062.500000	-72.937012
11109.375000	-73.568069
11156.250000	-74.067955
11203.125000	-72.742210
11250.000000	-71.827179
11296.875000	-72.470848
11343.750000	-74.132744
11390.625000	-73.697891
11437.500000	-75.767342
11484.375000	-76.015610
11531.250000	-74.138863
11578.125000	-71.719208
11625.000000	-70.213722
11671.875000	-70.499702
11718.750000	-70.716125
11765.625000	-71.705292
11812.500000	-74.094551
11859.375000	-74.857025
11906.250000	-75.195160
11953.125000	-74.710487
12000.000000	-73.864838
12046.875000	-72.776169
12093.750000	-66.319984
12140.625000	-64.731377
12187.500000	-69.392700
12234.375000	-73.646332
12281.250000	-74.811806
12328.125000	-76.671257
12375.000000	-78.030228
12421.875000	-78.463036
12468.750000	-76.227318
12515.625000	-72.957932
12562.500000	-72.658806
12609.375000	-72.650589
12656.250000	-72.208801
12703.125000	-75.158188
12750.000000	-77.873100
12796.875000	-74.870880
12843.750000	-74.615227
12890.625000	-74.324188
12937.500000	-72.356430
12984.375000	-74.613914
13031.250000	-77.367455
13078.125000	-73.906532
13125.000000	-72.759758
13171.875000	-71.544548
13218.750000	-71.054428
13265.625000	-73.938187
13312.500000	-72.301422
13359.375000	-72.200226
13406.250000	-73.261475
13453.125000	-71.617584
13500.000000	-72.570503
13546.875000	-72.035828
13593.750000	-71.790871
13640.625000	-74.248917
13687.500000	-73.569763
13734.375000	-72.424377
13781.250000	-72.911896
13828.125000	-70.257317
13875.000000	-70.825470
13921.875000	-71.997437
13968.750000	-71.672005
14015.625000	-72.587128
14062.500000	-73.726654
14109.375000	-74.511841
14156.250000	-73.738899
14203.125000	-72.941460
14250.000000	-71.213364
14296.875000	-70.796387
14343.750000	-70.652466
14390.625000	-72.435875
14437.500000	-74.802521
14484.375000	-75.081917
14531.250000	-74.918091
14578.125000	-72.306526
14625.000000	-71.887680
14671.875000	-70.632912
14718.750000	-72.322281
14765.625000	-73.982437
14812.500000	-73.098183
14859.375000	-72.836998
14906.250000	-73.100395
14953.125000	-74.741333
15000.000000	-73.905762
15046.875000	-74.044434
15093.750000	-75.164116
15140.625000	-73.983864
15187.500000	-74.907333
15234.375000	-75.596748
15281.250000	-75.218224
15328.125000	-75.037529
15375.000000	-74.874969
15421.875000	-76.412247
15468.750000	-76.856674
15515.625000	-76.124977
15562.500000	-76.769249
15609.375000	-76.736160
15656.250000	-77.556480
15703.125000	-82.598526
15750.000000	-88.256935
15796.875000	-87.860313
15843.750000	-85.498833
15890.625000	-86.509720
15937.500000	-85.383354
15984.375000	-84.664169
16031.250000	-91.489960
16078.125000	-103.020996
16125.000000	-112.949402
16171.875000	-117.885963
16218.750000	-121.381630
16265.625000	-127.144249
16312.500000	-127.629318
16359.375000	-130.975723
16406.250000	-132.886078
16453.125000	-132.994812
16500.000000	-138.139877
16546.875000	-138.428513
16593.750000	-141.367142
16640.625000	-145.385681
16687.500000	-144.607361
16734.375000	-147.465469
16781.250000	-149.500366
16828.125000	-146.204330
16875.000000	-143.415268
16921.875000	-148.327103
16968.750000	-150.130173
17015.625000	-144.481430
17062.500000	-140.503448
17109.375000	-145.806931
17156.250000	-145.714859
17203.125000	-142.590988
17250.000000	-143.004791
17296.875000	-142.244690
17343.750000	-140.375732
17390.625000	-142.852158
17437.500000	-144.934845
17484.375000	-144.663055
17531.250000	-144.644745
17578.125000	-146.555450
17625.000000	-144.339828
17671.875000	-147.145920
17718.750000	-154.497574
17765.625000	-155.760071
17812.500000	-153.498932
17859.375000	-151.308670
17906.250000	-142.457886
17953.125000	-141.386810
18000.000000	-146.776031
18046.875000	-139.748169
18093.750000	-140.069565
18140.625000	-147.712006
18187.500000	-150.639206
18234.375000	-149.102905
18281.250000	-150.964798
18328.125000	-147.023453
18375.000000	-140.682953
18421.875000	-144.572769
18468.750000	-151.039795
18515.625000	-150.116074
18562.500000	-146.292007
18609.375000	-150.637192
18656.250000	-147.049942
18703.125000	-143.578552
18750.000000	-144.800461
18796.875000	-145.485947
18843.750000	-146.954910
18890.625000	-143.746841
18937.500000	-137.428360
18984.375000	-141.916687
19031.250000	-146.462006
19078.125000	-149.253830
19125.000000	-146.504440
19171.875000	-150.009247
19218.750000	-153.144073
19265.625000	-154.866959
19312.500000	-155.273178
19359.375000	-154.261124
19406.250000	-145.963547
19453.125000	-143.958832
19500.000000	-149.933395
19546.875000	-147.640259
19593.750000	-147.629379
19640.625000	-150.584671
19687.500000	-147.531448
19734.375000	-147.109238
19781.250000	-150.018692
19828.125000	-149.971497
19875.000000	-146.501724
19921.875000	-147.481964
19968.750000	-145.911423
20015.625000	-146.694275
20062.500000	-145.542892
20109.375000	-149.359177
20156.250000	-146.171860
20203.125000	-142.718719
20250.000000	-144.216614
20296.875000	-147.429733
20343.750000	-149.799088
20390.625000	-141.710556
20437.500000	-135.322647
20484.375000	-139.207672
20531.250000	-146.805466
20578.125000	-149.739044
20625.000000	-146.997849
20671.875000	-147.928848
20718.750000	-148.860382
20765.625000	-150.253464
20812.500000	-151.948853
20859.375000	-152.175674
20906.250000	-144.665359
20953.125000	-143.416107
21000.000000	-148.693298
21046.875000	-148.775742
21093.750000	-151.339783
21140.625000	-151.912888
21187.500000	-150.274506
21234.375000	-151.535904
21281.250000	-152.467621
21328.125000	-149.832718
21375.000000	-144.855423
21421.875000	-147.365875
21468.750000	-145.757019
21515.625000	-145.058899
21562.500000	-143.076981
21609.375000	-146.044479
21656.250000	-146.498825
21703.125000	-143.426880
21750.000000	-143.726761
21796.875000	-146.919617
21843.750000	-146.030243
21890.625000	-145.785767
21937.500000	-143.380280
21984.375000	-147.007050
22031.250000	-149.545609
22078.125000	-145.846161
22125.000000	-141.994476
22171.875000	-147.245468
22218.750000	-150.438171
22265.625000	-152.109482
22312.500000	-149.324249
22359.375000	-146.230362
22406.250000	-145.733475
22453.125000	-145.407822
22500.000000	-150.401840
22546.875000	-149.512833
22593.750000	-147.820709
22640.625000	-149.807388
22687.500000	-152.019485
22734.375000	-151.629623
22781.250000	-152.653671
22828.125000	-148.403946
22875.000000	-144.369781
22921.875000	-148.939850
22968.750000	-153.005432
23015.625000	-143.040787
23062.500000	-138.338989
23109.375000	-141.175339
23156.250000	-141.011093
23203.125000	-142.110046
23250.000000	-144.871780
23296.875000	-146.677124
23343.750000	-147.597580
23390.625000	-148.447342
23437.500000	-145.461258
23484.375000	-147.498627
23531.250000	-147.321320
23578.125000	-145.659042
23625.000000	-142.192749
23671.875000	-146.850647
23718.750000	-153.383957
23765.625000	-154.058243
23812.500000	-150.550415
23859.375000	-147.723892
23906.250000	-141.893906
23953.125000	-141.478592
