Frequency (Hz)	Level (dB)
46.875000	-18.273731
93.750000	-19.781055
140.625000	-26.242617
187.500000	-33.326740
234.375000	-35.894356
281.250000	-35.077492
328.125000	-35.578030
375.000000	-36.266273
421.875000	-35.895134
468.750000	-35.921593
515.625000	-36.571480
562.500000	-37.122578
609.375000	-37.484276
656.250000	-37.902512
703.125000	-40.567028
750.000000	-41.003021
796.875000	-42.339500
843.750000	-41.978226
890.625000	-41.011013
937.500000	-41.688568
984.375000	-42.538704
1031.250000	-41.846584
1078.125000	-40.771488
1125.000000	-40.870075
1171.875000	-42.363308
1218.750000	-42.731426
1265.625000	-43.294140
1312.500000	-45.000240
1359.375000	-47.090954
1406.250000	-47.246964
1453.125000	-47.154182
1500.000000	-46.732807
1546.875000	-45.888035
1593.750000	-45.355862
1640.625000	-45.156517
1687.500000	-45.783726
1734.375000	-46.622066
1781.250000	-46.209511
1828.125000	-46.188992
1875.000000	-45.042309
1921.875000	-45.592731
1968.750000	-45.338394
2015.625000	-44.425461
2062.500000	-46.252045
2109.375000	-46.089783
2156.250000	-46.766201
2203.125000	-47.033985
2250.000000	-45.088352
2296.875000	-44.262688
2343.750000	-43.317417
2390.625000	-41.155750
2437.500000	-42.711563
2484.375000	-45.440647
2531.250000	-45.260128
2578.125000	-45.372021
2625.000000	-46.647942
2671.875000	-46.939846
2718.750000	-47.203545
2765.625000	-47.268913
2812.500000	-46.408543
2859.375000	-46.788239
2906.250000	-46.342281
2953.125000	-46.227009
3000.000000	-45.563038
3046.875000	-45.574924
3093.750000	-46.790997
3140.625000	-47.133659
3187.500000	-47.112965
3234.375000	-46.532555
3281.250000	-46.292713
3328.125000	-45.704586
3375.000000	-46.203510
3421.875000	-46.738174
3468.750000	-46.043907
3515.625000	-45.862415
3562.500000	-46.499302
3609.375000	-46.561756
3656.250000	-46.709469
3703.125000	-46.734299
3750.000000	-46.578846
3796.875000	-46.155460
3843.750000	-45.811550
3890.625000	-47.569767
3937.500000	-48.396748
3984.375000	-47.811428
4031.250000	-47.784618
4078.125000	-48.735909
4125.000000	-48.904140
4171.875000	-49.887268
4218.750000	-50.060696
4265.625000	-49.429661
4312.500000	-48.895256
4359.375000	-49.054432
4406.250000	-49.948914
4453.125000	-49.450554
4500.000000	-49.939121
4546.875000	-51.158524
4593.750000	-52.480324
4640.625000	-52.370693
4687.500000	-52.220261
4734.375000	-51.751801
4781.250000	-52.904896
4828.125000	-51.841125
4875.000000	-51.110142
4921.875000	-51.463039
4968.750000	-52.564926
5015.625000	-52.797329
5062.500000	-52.811581
5109.375000	-52.264057
5156.250000	-52.251842
5203.125000	-52.626232
5250.000000	-52.922188
5296.875000	-52.973499
5343.750000	-53.004848
5390.625000	-53.219276
5437.500000	-52.897514
5484.375000	-52.497021
5531.250000	-52.047562
5578.125000	-51.157562
5625.000000	-51.529884
5671.875000	-51.933952
5718.750000	-51.413960
5765.625000	-52.145161
5812.500000	-52.761028
5859.375000	-52.313332
5906.250000	-51.765324
5953.125000	-51.781368
6000.000000	-50.916439
6046.875000	-51.882126
6093.750000	-51.994278
6140.625000	-51.417542
